id,word

1,to <eos> the a in up for on from and N as by with their it that its at out

2,to <eos> the in a for by <unk> have and that of be from on it will were with is

3,of <eos> <unk> the and in a street to for on up at N by that with is company as

4,of <unk> <eos> market and in company for to the a is on group price board business 's N system

5,<eos> at and in to on prices trading N of yesterday for index a from fell were down up with

6,the N a its <unk> <eos> $ and to 's markets in inc. corp. securities which co. international an &

7,<unk> company u.s. new first market stock the world sale federal business board bank debt same N most next of

8,is will was 's the <unk> has n't a would also expects it had said agreed <eos> of that N

9,<eos> and in to of for are have that by ' <unk> on were as with will said at is

10,<unk> n't a the expected not is that being it in to <eos> an likely going one very of much

11,<unk> <eos> own of to in the and as for from a other on by with their up years companies

12,the N a september august new $ an its <unk> this to at trading july london monday <eos> march april

13,a the $ N <eos> its <unk> of in an year from for new to about earlier last this and

14,<unk> a N the $ been of in <eos> are were expected sold have to n't by priced as at

15,the a <eos> of year N in <unk> to as it $ they is was at he that for by

16,company <unk> u.s. first market new stock N end dollar quarter next year second of the latest board price big

17,by to <eos> <unk> in as of than a the with for at that and on much up more about

18,the to by a <unk> in of <eos> for as up at on and N that with out from an

19,board of <unk> market company is <eos> street and stock year estate 's as in was will time quarter group

20,<eos> in and at the prices of to for on with a from trading <unk> by are as that were

21,<unk> u.s. company new first market the most same world next big end federal dollar soviet two government stock past

22,the a <unk> <eos> its N in this their mr. it an some to and new by that his they

23,<eos> 's said and that in for to the with at is of on a was yesterday will which he

24,to the <eos> a <unk> in that it for by as and on their up have of its with out

25,to <eos> by in for that the a and of 's on with as at <unk> said he from it

26,<eos> and are in have were <unk> of for said to 's is as will on at that by prices

27,a <unk> the said n't named an <eos> N expected also in to sold was been 's priced is that

28,the a N <unk> $ its an of in to <eos> it more is this about that as other new

29,street <eos> journal in and <unk> stock the of to 's market at a on as is N for up

30,company u.s. <unk> new market first stock dollar same third latest end past world federal N sale big the most

31,<eos> in to and of that for the by <unk> is on will with as from are a but would

32,<unk> company u.s. new first board bank federal group state the soviet market government world of nation N same most

33,the a N <unk> its an this september august his addition new mr. $ japan other which one it two

34,<eos> market prices and exchange in of at markets for 's on which is the to <unk> as are a

35,the <unk> a <eos> N in and as other of to 's stock its new it is said are an

36,of <eos> <unk> the and in street a to for on N up at by that company as with said

37,<eos> and in prices at of for on market to exchange as with is that from the which a are

38,<eos> a to the and in <unk> for N of as from at by more with on its $ about

39,N of <eos> a <unk> in to the is and for year with as at on by $ that 's

40,<unk> u.s. company new the first market same a own most world end next board soviet best federal government stock

41,N <eos> least the at par monday to 's a and oct. prices after <unk> $ about yesterday with trading

42,the a <eos> in <unk> of N it to and its up at as for on by that this from

43,to <eos> at and in for of a N have as <unk> from are on by were the with prices

44,of 's said was is <unk> <eos> company to court and in market has also will that N quarter for

45,the be a <unk> N sell $ to make its buy have an get take all their it pay <eos>

46,<unk> gorbachev bush said president 's chief <eos> r. chairman lee and baker who was is d. peters says has

47,<unk> company u.s. new first world the state soviet same market federal N house of most board end two bank

48,the <unk> a N other its an new <eos> $ as japan to in at about well stocks their and

49,N the a $ <unk> to <eos> its year an in about new at this monday oct. up september nov.

50,<unk> N year $ the new a of major week big more to time in month few <eos> for price

51,jones 's market index said were was of fell N also <eos> is to will in exchange and are prices

52,<eos> to are have that in the they it and said for say with n't he do were will as

53,the <unk> a sell N $ be buy its to pay make their <eos> have an yield more get about

54,'s group firm and <eos> said department of bank officer is & company securities corp. for corp market executive at

55,<unk> the a n't expected not is it an very being that one much going likely no 's in also

56,be the sell a <unk> make to get have buy pay take their do its continue any give help keep

57,<eos> and in of for group said firm is to that firms 's market <unk> at will company on are

58,u.s. <unk> company new first market past same stock world the third federal most dollar N soviet government latest economy

59,<eos> said and a 's of the in inc. to is which for <unk> has was co. at that corp.

60,the a <unk> N its an <eos> their this his new $ in mr. to all it about some u.s.

61,the be <unk> a make get sell N to have their take buy pay its his <eos> any an all

62,<eos> of in the from and for <unk> N a to year or on last was is as by with

63,the <unk> N a in to said 's it and <eos> mr. its net by is that inc. sales of

64,the than of a <unk> in <eos> N as to $ more for about its it are at with by

65,<eos> and in are prices to at on of N the were for from stocks by <unk> as than trading

66,<eos> the in to and by a but N for <unk> at as it on with that of mr. from

67,<eos> and in are <unk> prices to of for said at as were have on the is 's that by

68,be have the to <unk> continue n't <eos> a buy sell make take it get pay remain N not year

69,of in <eos> <unk> as is to and for the that a by with on than was will at said

70,of the <eos> <unk> as in a are and to other N is with were than have for companies will

71,<eos> to that the in he is of and it for mr. with on 's they but as a <unk>

72,but the <eos> he mr. 's it and we that in if for <unk> they i said at on when

73,of <eos> <unk> and 's in market is N to the for that was but period on with he has

74,years a the <unk> months weeks <eos> of other N in days to and from by hours as million cents

75,<unk> chief the a N an his president chairman and has mr. <eos> is 's said other was former of

76,<unk> the a other its <eos> N an mr. in and to it as his their that new of chief

77,of N <eos> <unk> to and in the a $ for from with by on or as at its than

78,of <eos> in <unk> months to and for from a on by N the or with $ as years that

