id,word

1,to the a in up for on from and N as by with their it that its at out <unk>
2,to the in a for by <unk> have and that of be from on it will were with is mr.
3,of <unk> the and in a street to for on up at N by that with is company as said
4,of <unk> market and in company for to the a is on group price board business 's N system time
5,at and in to on prices trading N of yesterday for index a from fell were down up with due
6,the N a its <unk> $ and to 's markets in inc. corp. securities which co. international an & shares
7,<unk> company u.s. new first market stock the world sale federal business board bank debt same N most next of
8,is will was 's the <unk> has n't a would also expects it had said agreed of that N he
9,and in to of for are have that by ' <unk> on were as with will said at is 's
10,<unk> n't a the expected not is that being it in to an likely going one very of much also
11,<unk> own of to in the and as for from a other on by with their up years companies u.s.
12,the N a september august new $ an its <unk> this to at trading july london monday march april friday
13,a the $ N its <unk> of in an year from for new to about earlier last this and revenue
14,<unk> a N the $ been of in are were expected sold have to n't by priced as at also
15,the a of year N in <unk> to as it $ they is was at he that for by week
16,company <unk> u.s. first market new stock N end dollar quarter next year second of the latest board price big
17,by to <unk> in as of than a the with for at that and on much up more about out
18,the to by a <unk> in of for as up at on and N that with out from an more
19,board of <unk> market company is street and stock year estate 's as in was will time quarter group industry
20,in and at the prices of to for on with a from trading <unk> by are as that were which
21,<unk> u.s. company new first market the most same world next big end federal dollar soviet two government stock past
22,the a <unk> its N in this their mr. it an some to and new by that his they last
23,'s said and that in for to the with at is of on a was yesterday will which he has
24,to the a <unk> in that it for by as and on their up have of its with out from
25,to by in for that the a and of 's on with as at <unk> said he from it is
26,and are in have were <unk> of for said to 's is as will on at that by prices '
27,a <unk> the said n't named an N expected also in to sold was been 's priced is that by
28,the a N <unk> $ its an of in to it more is this about that as other new by
29,street journal in and <unk> stock the of to 's market at a on as is N for up but
30,company u.s. <unk> new market first stock dollar same third latest end past world federal N sale big the most
31,in to and of that for the by <unk> is on will with as from are a but would was
32,<unk> company u.s. new first board bank federal group state the soviet market government world of nation N same most
33,the a N <unk> its an this september august his addition new mr. $ japan other which one it two
34,market prices and exchange in of at markets for 's on which is the to <unk> as are a stocks
35,the <unk> a N in and as other of to 's stock its new it is said are an u.s.
36,of <unk> the and in street a to for on N up at by that company as with said is
37,and in prices at of for on market to exchange as with is that from the which a are 's
38,a to the and in <unk> for N of as from at by more with on its $ about or
39,N of a <unk> in to the is and for year with as at on by $ that 's more
40,<unk> u.s. company new the first market same a own most world end next board soviet best federal government stock
41,N least the at par monday to 's a and oct. prices after <unk> $ about yesterday with trading down
42,the a in <unk> of N it to and its up at as for on by that this from mr.
43,to at and in for of a N have as <unk> from are on by were the with prices will
44,of 's said was is <unk> company to court and in market has also will that N quarter for issue
45,the be a <unk> N sell $ to make its buy have an get take all their it pay any
46,<unk> gorbachev bush said president 's chief r. chairman lee and baker who was is d. peters says has of
47,<unk> company u.s. new first world the state soviet same market federal N house of most board end two bank
48,the <unk> a N other its an new $ as japan to in at about well stocks their and trading
49,N the a $ <unk> to its year an in about new at this monday oct. up september nov. on
50,<unk> N year $ the new a of major week big more to time in month few for price strong
51,jones 's market index said were was of fell N also is to will in exchange and are prices closed
52,to are have that in the they it and said for say with n't he do were will as we
53,the <unk> a sell N $ be buy its to pay make their have an yield more get about all
54,'s group firm and said department of bank officer is & company securities corp. for corp market executive at in
55,<unk> the a n't expected not is it an very being that one much going likely no 's in also
56,be the sell a <unk> make to get have buy pay take their do its continue any give help keep
57,and in of for group said firm is to that firms 's market <unk> at will company on are with
58,u.s. <unk> company new first market past same stock world the third federal most dollar N soviet government latest economy
59,said and a 's of the in inc. to is which for <unk> has was co. at that corp. &
60,the a <unk> N its an their this his new $ in mr. to all it about some u.s. and
61,the be <unk> a make get sell N to have their take buy pay its his any an all $
62,of in the from and for <unk> N a to year or on last was is as by with this
