id,word

1,<eos> the to in a as on out any for into or this it but and by back from that

2,to <eos> the in by for a on and <unk> that of up have but it as from with at

3,<eos> and in at on to for of the brokers traders up <unk> after as 's into out by down

4,<eos> market <unk> of and in to the for company range is at stock on 's price but industry says

5,<eos> and on in for at of to index trading prices contracts from market or said N by <unk> contract

6,corp. and the 's co. inc. <eos> stock <unk> said which international corp a in management ltd. has markets gains

7,<unk> company market stock u.s. new exchange the firm industry big offer price program markets debt companies securities financial transaction

8,is has will was would 's does said <eos> had may also makes in <unk> could the expects now did

9,<eos> and in to of that for are ' have as said with will the he <unk> a on at

10,n't a the <unk> going expected not to being likely that very <eos> still in one an it now too

11,<unk> own the money new <eos> company a big of to and way stock market stocks trading problems in shares

12,london the N new september trading a <unk> tokyo moderate frankfurt august december exchange late up market chicago dollar heavy

13,the a N <unk> $ about its an of <eos> most all this it their each some more two trading

14,unchanged <unk> in a traded up to N down n't at from $ higher the more below closed sold about

15,N the a of <unk> in $ <eos> as it to year at that two was month one an about

16,first <unk> N most second only highest same new $ close big end the market a u.s. stock latest major

17,<unk> to by strong in <eos> thin high low than profitable active with good as a flat for and lower

18,the a in up <eos> to <unk> on for their some by that out its of and at an it

19,board of <unk> market stock hit <eos> and news is day was 's trading company rally plunge the bank new

20,<eos> at in and for yesterday of on the to <unk> with as by N a from during but after

21,<unk> market stock exchange company big dow new u.s. dollar board ual recent the fed markets most firm economy situation

22,the a <unk> their <eos> mr. some it trading this its buying new that they any his friday an in

23,<eos> 's and said of <unk> in that for on the to a at reports is which news as stock

24,to the <eos> <unk> a that it their in for they on and of have about n't out its is

25,<eos> by in to as the and for that but on a <unk> at because he after before when with

26,<eos> and in are at have to for that said on were the but he or will of also is

27,<unk> down up a quoted said the in at unchanged closed named to off announced <eos> by trading exchange expected

28,<unk> the is was will a N of has were <eos> have 's in said and are had would to

29,<eos> and 's the firms <unk> in stocks to a for & by stock on makers said as investors traders

30,<unk> market stock u.s. new company big exchange the securities board N ual recent first dollar buy-out other sidelines wall

31,<eos> and to in of that is the by for on are he will at as but was may could

32,<unk> company u.s. exchange new board securities bank machinists federal the stock senate market two most N soviet firm other

33,the a N september <unk> an new its london august this which trading october december early late july big chicago

34,prices market <eos> exchange markets and in exchanges <unk> of stocks index futures at tumbled were fell price trading for

35,the <unk> a <eos> N stocks is they in it other as most of to futures many that when was

36,<eos> traders and the at in up on <unk> down brokers for to off trading 's a of street out

37,<eos> prices and market in <unk> the for 's exchange to of at is that on as but which he

38,<eos> the <unk> to a stocks and in their on at shares as for them orders or of that some

39,is of to that and for at in the N <eos> on <unk> was with a he 's will are

40,<unk> same market big the new stock way <eos> world first people most company u.s. very best next end price

41,edt <eos> N and est <unk> at a the on or oct. about for monday in yesterday 's down when

42,the <eos> a <unk> to of in and N that it on at when by for its as from mr.

43,<eos> to <unk> the in and a on prices at by as for orders of stocks from into were are

44,breakers breaker <unk> is court was of 's market will <eos> in has that and said trading for the he

45,the <unk> be a get do have say it you take see mr. i N he <eos> stay his make

46,<unk> lee roman wolf edelman lawson <eos> noriega baker phelan dozen and 's taylor dinkins simmons honecker engelken gorbachev steinhardt

47,<unk> new u.s. company board market exchange big world stock chicago deal the N first wall two other end firm

48,<unk> the a other trading his N mr. exchange options that <eos> in traders at he yesterday new an its

49,the a N <unk> oct. monday friday wall this volume <eos> their at about an its in wednesday stock some

50,<unk> the point day big market time of a N <eos> week major year new recession very to reason price

51,jones industrials 's said had have <unk> <eos> and were futures market was will is also are fell to has

52,<eos> to that in and the have are <unk> about on a who do for of said they from not

53,<unk> the buy sell a stocks N their make its market be stock get futures close take keep do it

