id,word
1,the <eos> a to <unk> in its it their up on for by with as be and at from an
2,to <eos> the in a of <unk> for N and it on by as that from were is mr. with
3,of <unk> the <eos> in a and for N is that on to street by but at mr. with as
4,of <unk> market <eos> the a company and in 's is to for price stock time N on that business
5,<eos> in at to and on N yesterday a up of for the down as after by with was from
6,N the <eos> markets 's inc. and a its to corp. securities at which in operations japan shares bonds said
7,company <unk> of first market new u.s. <eos> stock year board next sale offer the dollar end business plan in
8,the a is 's <unk> it has will its was would n't mr. that said also N an expects he
9,<eos> to and in of are <unk> for as have ' were that 's by at on with a who
10,n't a the not <unk> expected to an as well in being <eos> likely one it is that much no
11,<unk> <eos> to own of the in and by for as from with a up on into their out years
12,the N august a september new its $ an july trading april early london friday stock recent exchange composite lower
13,a the N $ <eos> <unk> an its of from example new trading each year for in earlier about revenue
14,$ N been the a are priced expected than analysts were <unk> have in to sold at <eos> of it
15,of <eos> in the a as for year it to they he at and by that with is on from
16,the company new first u.s. market <unk> a stock N dollar next two end most of federal price latest year
17,<eos> in to by <unk> a of as the for and on than with that at more up it much
18,the <unk> a to in of by for <eos> its N up new on as that at more an and
19,board of street <unk> is company market 's year and as <eos> estate way in will was has to stock
20,<eos> the N in a and <unk> to at prices trading as from its on which for by with of
21,<unk> u.s. new company the of market first a most board next world two same federal soviet government time end
22,the <unk> a <eos> it mr. its in to that this their and by he they year an some next
23,<eos> 's said in that and at for of the with on a to was by yesterday is will which
24,to <eos> the <unk> in that it a for and more have by n't as of about their from on
25,to <eos> by in a <unk> for the that of and said on as 's he at will with it
26,<eos> in and are for is to on as of will at said were have from also 's prices <unk>
27,a n't <unk> said the been sold agreed 's named <eos> also an expected priced N to acquired it reported
28,<unk> the a N $ of in its an to more <eos> as is one new and being about was
29,the street stock <eos> a <unk> in and 's of N market to journal is new at on up with
30,N <unk> company the u.s. new dollar dow first big two market stock federal year a $ latest third next
31,to <eos> the in <unk> and of a by for is that on as N but will with it mr.
32,<unk> company u.s. new board first soviet state same nation the bank group market number largest major federal move world
33,the a N <unk> this an its addition new is $ september one most august two said 's recent his
34,<eos> prices and market exchange in are 's the at to a as were will which for that is on
35,the a <unk> <eos> other N have its all and in it mr. to said an as 's they are
36,<unk> of N up in the to street for a and <eos> off at on by out from as company
37,<eos> prices in and at of exchange market markets with for on were are as is that to fell trading
38,<eos> the to <unk> and a N in for their at about have with by 's as more its into
39,<eos> <unk> a in to and is 's the of N for will was with by has said at as
40,<unk> u.s. company the of new market a end <eos> first next soviet time most same world state way government
41,N least the <eos> at par to with about 's monday a after <unk> yesterday it when and on prices
42,the a in <eos> <unk> of to it its and by up at N for from as that on this
43,to <eos> N at for in of and than with on a by have $ from <unk> is be the
44,of 's <eos> to said company <unk> and was that in is N market period a the for group also
45,be the N a $ <unk> to buy its make sell have year yield pay take an it help offer
46,<unk> gorbachev bush n't chief president lee chairman baker named r. johnson dinkins james peters noriega guber allen was <eos>
47,<unk> u.s. company the new a first soviet state of world federal bank same two <eos> time most government next
48,the <unk> a N other s&p moody trading an its salomon exchange europe selling $ chief futures september <eos> new
49,N the a <unk> to <eos> $ about an its and in at this year for from oct. of up
50,N year $ <unk> the of new week time a to month price big stock more in yield two company
51,jones 's market index said of also was were exchange <eos> fell is to that will tumbled prices closed and
52,to n't <eos> we have they are it he in that there said but can do mr. say i 're
53,the <unk> be sell a N their buy to its make reach it <eos> pay have in $ mr. some
54,'s group firm said unit and & is angeles will who has corp. <eos> inc. <unk> corp company for bank
55,<unk> a the n't expected not very it that is being year an one they much <eos> 's N going
56,sell the be <unk> make buy have get N take reach a to pay keep do their see meet $
57,<eos> and of in group <unk> market at said is to 's for firms firm & was that are on
58,u.s. the company <unk> next new market first federal most N a government stock world past same dollar soviet sale
59,said 's <eos> and is has a <unk> officer co. in was inc. of & corp. agreed group had which
60,the a <unk> N <eos> of new an its their in and two to $ all his mr. u.s. this
61,the <unk> be a make N get their his take sell reach keep its to any find all buy work
62,<eos> in from of for and a the to year or on up <unk> earlier N by with after but
